Index	Kernel	sm__throughput.avg.pct_of_peak_sustained_elapsed	gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed	l1tex__throughput.avg.pct_of_peak_sustained_active	lts__throughput.avg.pct_of_peak_sustained_elapsed	gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed	sm__issue_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed.avg.pct_of_peak_sustained_elapsed	sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed	sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed	sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed	gpc__cycles_elapsed.max
196	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.47	9.53	6.27	5.5	9.53	2.35	2.3	0.26	2.47	0.77	0.17	0.43	0.0	1.36	0.0	0.0	0.0	3756.0
197	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.06	7.92	5.92	4.54	7.92	1.95	1.92	0.21	2.06	0.64	0.14	0.35	0.0	1.14	0.0	0.0	0.0	4522.0
198	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.06	7.97	5.41	4.56	7.97	1.96	1.92	0.21	2.06	0.64	0.14	0.36	0.0	1.14	0.0	0.0	0.0	4516.0
199	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.48	9.59	6.08	5.49	9.59	2.36	2.31	0.26	2.48	0.77	0.17	0.43	0.0	1.37	0.0	0.0	0.0	3746.0
200	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.47	9.53	6.18	5.49	9.53	2.34	2.3	0.26	2.47	0.77	0.17	0.43	0.0	1.36	0.0	0.0	0.0	3762.0
201	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.32	8.99	6.26	5.15	8.99	2.2	2.16	0.24	2.32	0.72	0.16	0.4	0.0	1.28	0.0	0.0	0.0	4012.0
202	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.27	8.84	5.88	5.05	8.84	2.15	2.11	0.23	2.27	0.7	0.16	0.39	0.0	1.25	0.0	0.0	0.0	4096.0
203	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.49	9.59	6.16	5.53	9.59	2.36	2.32	0.26	2.49	0.77	0.17	0.43	0.0	1.37	0.0	0.0	0.0	3733.0
204	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.32	8.94	5.97	5.12	8.94	2.2	2.16	0.24	2.32	0.72	0.16	0.4	0.0	1.28	0.0	0.0	0.0	4017.0
205	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.11	8.19	5.88	4.7	8.19	2.0	1.97	0.22	2.11	0.66	0.15	0.36	0.0	1.16	0.0	0.0	0.0	4400.0
206	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	4.7	6.49	3.98	3.71	6.49	4.23	4.2	2.14	3.19	0.75	0.12	0.29	0.0	1.16	0.0	0.0	0.0	5544.0
207	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	5.32	7.81	4.38	4.45	7.81	4.6	4.56	2.56	3.11	0.9	0.14	0.35	0.0	1.11	0.0	0.0	0.0	4634.0
208	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	4.98	7.31	4.35	4.17	7.31	4.3	4.27	2.39	2.91	0.84	0.13	0.32	0.0	1.04	0.0	0.0	0.0	4950.0
209	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	0.01	0.14	19.54	0.14	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2749.0
210	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.07	87.86	44.01	43.98	87.86	1.48	1.48	0.23	1.02	1.82	0.45	2.07	0.0	0.0	0.91	0.91	0.0	360963.0
211	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	16.46	80.95	57.12	47.42	80.95	13.52	13.51	6.17	4.25	2.74	13.74	4.68	0.0	4.39	16.46	16.46	0.0	299390.0
212	void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2.36	83.25	51.41	44.42	83.25	1.61	1.6	0.29	1.02	1.75	0.58	1.46	0.0	0.0	1.17	1.17	0.0	281119.0
213	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.08	88.16	44.12	44.02	88.16	1.48	1.48	0.23	1.02	1.82	0.46	2.08	0.0	0.0	0.91	0.91	0.0	360050.0
214	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	16.28	80.69	56.49	47.18	80.69	13.37	13.36	6.1	4.2	2.71	13.58	4.62	0.0	4.34	16.28	16.28	0.0	302152.0
215	void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2.37	82.48	51.46	44.14	82.48	1.61	1.61	0.29	1.02	1.75	0.58	1.47	0.0	0.0	1.17	1.17	0.0	281499.0
216	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.09	88.06	44.43	44.07	88.06	1.49	1.49	0.23	1.03	1.83	0.46	2.09	0.0	0.0	0.92	0.92	0.0	358648.0
217	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	16.41	81.54	56.95	47.58	81.54	13.47	13.47	6.15	4.24	2.73	13.69	4.66	0.0	4.38	16.41	16.41	0.0	299756.0
218	void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2.38	83.53	51.76	44.75	83.53	1.62	1.62	0.29	1.03	1.76	0.59	1.47	0.0	0.0	1.17	1.17	0.0	279103.0
219	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.07	87.98	44.06	43.88	87.98	1.48	1.48	0.23	1.02	1.82	0.45	2.07	0.0	0.0	0.91	0.91	0.0	360716.0
220	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	16.48	81.08	57.2	47.51	81.08	13.53	13.53	6.18	4.26	2.75	13.75	4.68	0.0	4.39	16.48	16.48	0.0	299531.0
221	void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2.36	83.14	51.4	44.4	83.14	1.61	1.6	0.29	1.02	1.75	0.58	1.46	0.0	0.0	1.17	1.17	0.0	281094.0
222	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.07	88.12	44.11	43.9	88.12	1.48	1.48	0.23	1.02	1.82	0.45	2.07	0.0	0.0	0.91	0.91	0.0	360480.0
